,0
906,Car5a
907,Car8
908,Card10
909,Card19
910,Card6
911,Carf
912,Carhsp1
913,Carm1
914,Carnmt1
915,Cars
916,Cars2
917,Casc3
918,Casd1
919,Cask
920,Caskin2
921,Casp3
922,Casp6
923,Casp7
924,Casp8
925,Casp8ap2
926,Casp9
927,Cast
928,Cat
929,Cavin2
930,Cbfa2t2
931,Cbfb
932,Cblb
933,Cblc
934,Cbll1
935,Cbr1
936,Cbr4
937,Cbs
938,Cbx1
939,Cbx2
940,Cbx3
941,Cbx4
942,Cbx5
943,Cc2d1a
944,Cc2d1b
945,Ccar1
946,Ccdc107
947,Ccdc114
948,Ccdc115
949,Ccdc117
950,Ccdc12
951,Ccdc122
952,Ccdc124
953,Ccdc127
954,Ccdc141
955,Ccdc152
956,Ccdc157
957,Ccdc162
958,Ccdc166
959,Ccdc167
960,Ccdc171
961,Ccdc174
962,Ccdc186
963,Ccdc25
964,Ccdc28a
965,Ccdc32
966,Ccdc34
967,Ccdc43
968,Ccdc47
969,Ccdc50
970,Ccdc51
971,Ccdc58
972,Ccdc59
973,Ccdc6
974,Ccdc66
975,Ccdc71
976,Ccdc84
977,Ccdc85b
978,Ccdc85c
979,Ccdc86
980,Ccdc9
981,Ccdc90b
982,Ccdc91
983,Ccdc97
984,Ccl2
985,Ccl27a
986,Ccl5
987,Ccl9
988,Ccm2
989,Ccn1
990,Ccnb1ip1
991,Ccnc
992,Ccnd1
993,Ccnd3
994,Ccndbp1
995,Ccnf
996,Ccng1
997,Ccng2
998,Ccnh
999,Ccni
1000,Ccnk
1001,Ccnl1
1002,Ccnl2
1003,Ccnq
1004,Ccnt1
1005,Ccnt2
1006,Ccny
1007,Ccpg1os
1008,Ccrl2
1009,Ccs
1010,Ccser2
1011,Cct2
1012,Cct3
1013,Cct4
1014,Cct5
1015,Cct7
1016,Cct8
1017,Ccz1
1018,Cd14
1019,Cd151
1020,Cd164
1021,Cd1d1
1022,Cd274
1023,Cd2ap
1024,Cd2bp2
1025,Cd302
1026,Cd36
1027,Cd3eap
1028,Cd47
1029,Cd59a
1030,Cd59b
1031,Cd5l
1032,Cd63
1033,Cd74
1034,Cd81
1035,Cd82
1036,Cd9
1037,Cd99l2
1038,Cda
1039,Cdadc1
1040,Cdc123
1041,Cdc14b
1042,Cdc16
1043,Cdc23
1044,Cdc26
1045,Cdc27
1046,Cdc34
1047,Cdc34b
1048,Cdc37
1049,Cdc37l1
1050,Cdc40
1051,Cdc42
1052,Cdc42bpa
1053,Cdc42bpb
1054,Cdc42ep1
1055,Cdc42ep4
1056,Cdc42se1
1057,Cdc42se2
1058,Cdc5l
1059,Cdc73
1060,Cdca4
1061,Cdcp1
1062,Cdh1
1063,Cdh2
1064,Cdhr5
1065,Cdip1
1066,Cdipt
1067,Cdk11b
1068,Cdk12
1069,Cdk13
1070,Cdk16
1071,Cdk17
1072,Cdk18
1073,Cdk2ap1
1074,Cdk2ap2
1075,Cdk4
1076,Cdk5
1077,Cdk5rap1
1078,Cdk5rap3
1079,Cdk6
1080,Cdk7
1081,Cdk8
1082,Cdk9
1083,Cdkal1
1084,Cdkl2
1085,Cdkn1a
1086,Cdkn1b
1087,Cdkn2aip
1088,Cdkn2aipnl
1089,Cdkn2c
1090,Cdo1
1091,Cdpf1
1092,Cds2
1093,Cdv3
1094,Cdyl
1095,Ceacam1
1096,Ceacam2
1097,Cebpa
1098,Cebpb
1099,Cebpd
1100,Cebpe
1101,Cebpg
1102,Cebpz
1103,Cebpzos
1104,Cecr2
1105,Cela1
1106,Celf1
1107,Celf2
1108,Celsr1
1109,Cenpl
1110,Cenpm
1111,Cenpv
1112,Cenpx
1113,Cep120
1114,Cep164
1115,Cep170
1116,Cep170b
1117,Cep19
1118,Cep290
1119,Cep350
1120,Cep44
1121,Cep57
1122,Cep63
1123,Cep68
1124,Cep83
1125,Cep85
1126,Cep85l
1127,Cept1
1128,Cers2
1129,Cers6
1130,Ces1b
1131,Ces1c
1132,Ces1d
1133,Ces1e
1134,Ces1f
1135,Ces1g
1136,Ces2a
1137,Ces2c
1138,Ces2e
1139,Ces2g
1140,Ces3a
1141,Ces3b
1142,Cetn2
1143,Cetn3
1144,Cfap20
1145,Cfap298
1146,Cfap36
1147,Cfap46
1148,Cfap77
1149,Cfap97
1150,Cfb
1151,Cfdp1
1152,Cfh
1153,Cfhr1
1154,Cfhr2
1155,Cfi
1156,Cfl1
1157,Cfl2
1158,Cflar
1159,Cggbp1
1160,Cgn
1161,Cgnl1
1162,Cgrrf1
1163,Chac1
1164,Chac2
1165,Champ1
1166,Chchd1
1167,Chchd10
1168,Chchd3
1169,Chchd4
1170,Chchd5
1171,Chchd7
1172,Chd1
1173,Chd1l
1174,Chd2
1175,Chd3
1176,Chd4
1177,Chd6
1178,Chd7
1179,Chd8
1180,Chd9
1181,Chdh
1182,Cherp
1183,Chfr
1184,Chic1
1185,Chic2
1186,Chid1
1187,Chka
1188,Chm
1189,Chmp1a
1190,Chmp2a
1191,Chmp2b
1192,Chmp3
1193,Chmp4b
1194,Chmp4c
1195,Chmp5
1196,Chmp6
1197,Chmp7
1198,Chn2
1199,Chordc1
1200,Chp1
1201,Chpf2
1202,Chpt1
1203,Chrac1
1204,Chrna4
1205,Chsy3
1206,Chtf8
1207,Chtop
1208,Chuk
1209,Churc1
1210,Ciao1
1211,Ciao2a
1212,Ciao2b
1213,Ciapin1
1214,Cib1
1215,Cib2
1216,Cib3
1217,Cic
1218,Cideb
1219,Cinp
1220,Cipc
1221,Cir1
1222,Cirbp
1223,Cisd1
1224,Cisd2
